index,CountryName
246,Zimbabwe
245,Zambia
244,Yemen
243,Western Sahara
242,Wallis and Futuna Islands
241,"Virgin Islands, US"
240,Viet Nam
239,Venezuelaÿ(Bolivarian Republic)
238,Vanuatu
237,Uzbekistan
236,Uruguay
234,United States of America
233,United Kingdom
232,United Arab Emirates
231,Ukraine
230,Uganda
235,US Minor Outlying Islands
229,Tuvalu
228,Turks and Caicos Islands
227,Turkmenistan
226,Turkey
225,Tunisia
224,Trinidad and Tobago
223,Tonga
222,Tokelau
221,Togo
220,Timor-Leste
219,Thailand
218,"Tanzania, United Republic of"
217,Tajikistan
216,"Taiwan, Republic of China"
215,Syrian Arab Republicÿ(Syria)
214,Switzerland
213,Sweden
212,Swaziland
211,Svalbard and Jan Mayen Islands
210,Suriname
209,Sudan
208,Sri Lanka
207,Spain
206,South Sudan
205,South Georgia and the South Sandwich Islands
204,South Africa
203,Somalia
202,Solomon Islands
201,Slovenia
200,Slovakia
199,Singapore
198,Sierra Leone
197,Seychelles
196,Serbia
195,Senegal
194,Saudi Arabia
193,Sao Tome and Principe
192,San Marino
191,Samoa
188,Saint-Martin (French part)
184,Saint-Barthlemy
190,Saint Vincent and Grenadines
189,Saint Pierre and Miquelon
187,Saint Lucia
186,Saint Kitts and Nevis
185,Saint Helena
180,Runion
183,Rwanda
182,Russian Federation
181,Romania
179,Qatar
178,Puerto Rico
177,Portugal
176,Poland
175,Pitcairn
174,Philippines
173,Peru
172,Paraguay
171,Papua New Guinea
170,Panama
169,Palestinian Territory
168,Palau
167,Pakistan
166,Oman
165,Norway
164,Northern Mariana Islands
163,Norfolk Island
162,Niue
161,Nigeria
160,Niger
159,Nicaragua
158,New Zealand
157,New Caledonia
156,Netherlands Antilles
155,Netherlands
154,Nepal
153,Nauru
152,Namibia
151,Myanmar
150,Mozambique
149,Morocco
148,Montserrat
147,Montenegro
146,Mongolia
145,Monaco
144,Moldova
143,"Micronesia, Federated States of"
142,Mexico
141,Mayotte
140,Mauritius
139,Mauritania
138,Martinique
137,Marshall Islands
136,Malta
135,Mali
134,Maldives
133,Malaysia
132,Malawi
131,Madagascar
130,"Macedonia, Republic of"
47,"Macao, SAR China"
129,Luxembourg
128,Lithuania
127,Liechtenstein
126,Libya
125,Liberia
124,Lesotho
123,Lebanon
122,Latvia
121,Lao PDR
120,Kyrgyzstan
119,Kuwait
118,Koreaÿ(South)
117,Koreaÿ(North)
116,Kiribati
115,Kenya
114,Kazakhstan
113,Jordan
112,Jersey
111,Japan
110,Jamaica
109,Italy
108,Israel
107,Isle of Man
106,Ireland
105,Iraq
104,"Iran, Islamic Republic of"
103,Indonesia
102,India
101,Iceland
100,Hungary
46,"Hong Kong, SAR China"
99,Honduras
98,Holy Seeÿ(Vatican City State)
97,Heard and Mcdonald Islands
96,Haiti
95,Guyana
94,Guinea-Bissau
93,Guinea
92,Guernsey
91,Guatemala
90,Guam
89,Guadeloupe
88,Grenada
87,Greenland
86,Greece
85,Gibraltar
84,Ghana
83,Germany
82,Georgia
81,Gambia
80,Gabon
79,French Southern Territories
78,French Polynesia
77,French Guiana
76,France
75,Finland
74,Fiji
73,Faroe Islands
72,Falkland Islands (Malvinas)
71,Ethiopia
70,Estonia
69,Eritrea
68,Equatorial Guinea
67,El Salvador
66,Egypt
65,Ecuador
64,Dominican Republic
63,Dominica
62,Djibouti
61,Denmark
56,Cte d'Ivoire
60,Czech Republic
59,Cyprus
58,Cuba
57,Croatia
55,Costa Rica
54,Cook Islands
52,Congoÿ(Brazzaville)
53,"Congo, (Kinshasa)"
51,Comoros
50,Colombia
49,Cocos (Keeling) Islands
48,Christmas Island
45,China
44,Chile
43,Chad
42,Central African Republic
41,Cayman Islands
40,Cape Verde
39,Canada
38,Cameroon
37,Cambodia
36,Burundi
35,Burkina Faso
34,Bulgaria
33,Brunei Darussalam
31,British Virgin Islands
32,British Indian Ocean Territory
30,Brazil
29,Bouvet Island
28,Botswana
27,Bosnia and Herzegovina
26,Bolivia
25,Bhutan
24,Bermuda
23,Benin
22,Belize
21,Belgium
20,Belarus
19,Barbados
18,Bangladesh
17,Bahrain
16,Bahamas
15,Azerbaijan
14,Austria
13,Australia
12,Aruba
11,Armenia
10,Argentina
9,Antigua and Barbuda
8,Antarctica
7,Anguilla
6,Angola
5,Andorra
4,American Samoa
3,Algeria
2,Albania
1,Aland Islands
0,Afghanistan
